Survived,Pclass,Age,SibSp,Parch,Fare,Sex_male,Embarked_Q,Embarked_S
0,3,22.0,1,0,0.014151057562208049,1,0,1
1,1,38.0,1,0,0.13913573538264068,0,0,0
1,3,26.0,0,0,0.015468569817999833,0,0,1
1,1,35.0,1,0,0.10364429745562033,0,0,1
0,3,35.0,0,0,0.015712553569072387,1,0,1
0,3,28.0,0,0,0.01650950209357577,1,1,0
0,1,54.0,0,0,0.10122885832000206,1,0,1
0,3,2.0,3,1,0.04113566043083236,1,0,1
1,3,27.0,0,2,0.021730754366528396,0,0,1
1,2,14.0,1,0,0.058694292654020104,0,0,0
1,3,4.0,1,1,0.03259622914329302,0,0,1
1,1,58.0,0,0,0.051822148727810165,0,0,1
0,3,20.0,0,0,0.015712553569072387,1,0,1
0,3,39.0,1,5,0.06104473451835265,1,0,1
0,3,14.0,0,0,0.015330377421392339,0,0,1
1,2,55.0,0,0,0.03122992013728673,0,0,1
0,3,2.0,4,1,0.056848213999904744,1,1,0
1,2,28.0,0,0,0.025374310111545468,1,0,1
0,3,31.0,1,0,0.03513366015444757,0,0,1
1,3,28.0,0,0,0.014102260811993537,0,0,0
0,2,35.0,0,0,0.050748620223090936,1,0,1
1,2,34.0,0,0,0.025374310111545468,1,0,1
1,3,15.0,0,0,0.015671954672893913,0,1,0
1,1,28.0,0,0,0.06929138530460492,1,0,1
0,3,8.0,3,1,0.04113566043083236,0,0,1
1,3,38.0,1,5,0.061264319894317944,0,0,1
0,3,28.0,0,0,0.014102260811993537,1,0,0
0,1,19.0,3,2,0.5133418122566505,1,0,1
1,3,28.0,0,0,0.01537917417160685,0,1,0
0,3,28.0,0,0,0.015411575213749284,1,0,1
0,1,40.0,0,0,0.05410739813385612,1,0,0
1,1,28.0,1,0,0.2859895551532101,0,0,0
1,3,28.0,0,0,0.015126992566498259,0,1,0
0,2,66.0,0,0,0.020494635090094415,1,0,1
0,1,28.0,1,0,0.16038672010106,1,0,0
0,1,42.0,1,0,0.10149724044618187,1,0,1
1,3,28.0,0,0,0.014110458666029575,1,0,0
0,3,21.0,0,0,0.015712553569072387,1,0,1
0,3,18.0,2,0,0.03513366015444757,0,0,1
1,3,14.0,1,0,0.021942337075458514,0,0,0
0,3,40.0,1,0,0.018493968331299484,0,0,1
0,2,27.0,1,0,0.04098927018018883,0,0,1
0,3,28.0,0,0,0.015411575213749284,1,0,0
1,2,3.0,1,2,0.08115719346076702,0,0,0
1,3,19.0,0,0,0.01537917417160685,0,1,0
0,3,28.0,0,0,0.015712553569072387,1,0,1
0,3,28.0,1,0,0.030253985132996517,1,1,0
1,3,28.0,0,0,0.015126992566498259,0,1,0
0,3,28.0,2,0,0.04231498029001666,1,0,0
0,3,18.0,1,0,0.034743286152731485,0,0,1
0,3,7.0,4,1,0.07746484096553544,1,0,1
0,3,21.0,0,0,0.01522458606692728,1,0,1
1,1,49.0,1,0,0.1497654242623688,0,0,0
1,2,29.0,1,0,0.050748620223090936,0,0,1
0,1,65.0,0,1,0.1209753416358076,1,0,0
