,Survived,Pclass,Age,SibSp,Parch,Fare,Sex_male,Embarked_Q,Embarked_S,FamilySize,IsAlone
0,0,3,22.0,1,0,0.014151057562208049,1,0,1,2,0
1,1,1,38.0,1,0,0.13913573538264068,0,0,0,2,0
2,1,3,26.0,0,0,0.015468569817999833,0,0,1,1,1
3,1,1,35.0,1,0,0.10364429745562033,0,0,1,2,0
4,0,3,35.0,0,0,0.015712553569072387,1,0,1,1,1
5,0,3,28.0,0,0,0.01650950209357577,1,1,0,1,1
6,0,1,54.0,0,0,0.10122885832000206,1,0,1,1,1
7,0,3,2.0,3,1,0.04113566043083236,1,0,1,5,0
8,1,3,27.0,0,2,0.021730754366528396,0,0,1,3,0
9,1,2,14.0,1,0,0.058694292654020104,0,0,0,2,0
10,1,3,4.0,1,1,0.03259622914329302,0,0,1,3,0
11,1,1,58.0,0,0,0.051822148727810165,0,0,1,1,1
12,0,3,20.0,0,0,0.015712553569072387,1,0,1,1,1
13,0,3,39.0,1,5,0.06104473451835265,1,0,1,7,0
14,0,3,14.0,0,0,0.015330377421392339,0,0,1,1,1
15,1,2,55.0,0,0,0.03122992013728673,0,0,1,1,1
16,0,3,2.0,4,1,0.05684821399990475,1,1,0,6,0
17,1,2,28.0,0,0,0.025374310111545468,1,0,1,1,1
18,0,3,31.0,1,0,0.03513366015444757,0,0,1,2,0
19,1,3,28.0,0,0,0.014102260811993537,0,0,0,1,1
20,0,2,35.0,0,0,0.050748620223090936,1,0,1,1,1
21,1,2,34.0,0,0,0.025374310111545468,1,0,1,1,1
22,1,3,15.0,0,0,0.015671954672893913,0,1,0,1,1
23,1,1,28.0,0,0,0.06929138530460494,1,0,1,1,1
24,0,3,8.0,3,1,0.04113566043083236,0,0,1,5,0
25,1,3,38.0,1,5,0.06126431989431795,0,0,1,7,0
26,0,3,28.0,0,0,0.014102260811993537,1,0,0,1,1
27,0,1,19.0,3,2,0.5133418122566507,1,0,1,6,0
28,1,3,28.0,0,0,0.01537917417160685,0,1,0,1,1
29,0,3,28.0,0,0,0.015411575213749286,1,0,1,1,1
30,0,1,40.0,0,0,0.05410739813385612,1,0,0,1,1
31,1,1,28.0,1,0,0.2859895551532101,0,0,0,2,0
32,1,3,28.0,0,0,0.015126992566498259,0,1,0,1,1
33,0,2,66.0,0,0,0.020494635090094415,1,0,1,1,1
34,0,1,28.0,1,0,0.16038672010106003,1,0,0,2,0
35,0,1,42.0,1,0,0.10149724044618187,1,0,1,2,0
36,1,3,28.0,0,0,0.014110458666029575,1,0,0,1,1
37,0,3,21.0,0,0,0.015712553569072387,1,0,1,1,1
38,0,3,18.0,2,0,0.03513366015444757,0,0,1,3,0
39,1,3,14.0,1,0,0.021942337075458514,0,0,0,2,0
40,0,3,40.0,1,0,0.018493968331299484,0,0,1,2,0
41,0,2,27.0,1,0,0.04098927018018883,0,0,1,2,0
42,0,3,28.0,0,0,0.015411575213749286,1,0,0,1,1
43,1,2,3.0,1,2,0.08115719346076702,0,0,0,4,0
44,1,3,19.0,0,0,0.01537917417160685,0,1,0,1,1
45,0,3,28.0,0,0,0.015712553569072387,1,0,1,1,1
46,0,3,28.0,1,0,0.030253985132996517,1,1,0,2,0
47,1,3,28.0,0,0,0.015126992566498259,0,1,0,1,1
48,0,3,28.0,2,0,0.04231498029001666,1,0,0,3,0
49,0,3,18.0,1,0,0.034743286152731485,0,0,1,2,0
50,0,3,7.0,4,1,0.07746484096553544,1,0,1,6,0
51,0,3,21.0,0,0,0.01522458606692728,1,0,1,1,1
52,1,1,49.0,1,0,0.1497654242623688,0,0,0,2,0
53,1,2,29.0,1,0,0.050748620223090936,0,0,1,2,0
54,0,1,65.0,0,1,0.1209753416358076,1,0,0,2,0
55,1,1,28.0,0,0,0.06929138530460494,1,0,1,1,1
56,1,2,21.0,0,0,0.020494635090094415,0,0,1,1,1
57,0,3,28.5,0,0,0.014110458666029575,1,0,0,1,1
58,1,2,5.0,1,2,0.05416439273810667,0,0,1,4,0
59,0,3,11.0,5,2,0.09154270340242172,1,0,1,8,0
60,0,3,22.0,0,0,0.014110458666029575,1,0,0,1,1
61,1,1,38.0,0,0,0.15614960068643363,0,0,0,1,1
62,0,1,45.0,1,0,0.16293234896625058,1,0,1,2,0
63,0,3,4.0,3,2,0.05445717323939373,1,0,1,6,0
64,0,1,28.0,0,0,0.05410739813385612,1,0,0,1,1
65,1,3,28.0,1,1,0.029757819776815374,1,0,0,3,0
66,1,2,29.0,0,0,0.020494635090094415,0,0,1,1,1
67,0,3,19.0,0,0,0.015923941091001644,1,0,1,1,1
68,1,3,17.0,4,2,0.015468569817999833,0,0,1,7,0
69,0,3,26.0,2,0,0.016908073949327893,1,0,1,3,0
70,0,2,32.0,0,0,0.020494635090094415,1,0,1,1,1
71,0,3,16.0,5,2,0.09154270340242172,0,0,1,8,0
72,0,2,21.0,0,0,0.1434624456306609,1,0,1,1,1
73,0,3,26.0,1,0,0.028212719478023115,1,0,0,2,0
74,1,3,32.0,0,0,0.11027245763075773,1,0,1,1,1
75,0,3,25.0,0,0,0.014931805565640218,1,0,1,1,1
76,0,3,28.0,0,0,0.015411575213749286,1,0,1,1,1
77,0,3,28.0,0,0,0.015712553569072387,1,0,1,1,1
78,1,2,0.83,0,2,0.056604230248832196,1,0,1,3,0
79,1,3,30.0,0,0,0.024349578357040744,0,0,1,1,1
80,0,3,22.0,0,0,0.017566830077223785,1,0,1,1,1
81,1,3,29.0,0,0,0.018542765081513996,1,0,1,1,1
82,1,3,28.0,0,0,0.015200187691820024,0,1,0,1,1
